Date;Close
24.11.2023;2,649
23.11.2023;2,617
22.11.2023;2,558
21.11.2023;2,565
20.11.2023;2,61
17.11.2023;2,586
16.11.2023;2,589
15.11.2023;2,642
14.11.2023;2,599
13.11.2023;2,711
10.11.2023;2,716
09.11.2023;2,645
08.11.2023;2,615
07.11.2023;2,657
06.11.2023;2,737
03.11.2023;2,643
02.11.2023;2,715
01.11.2023;2,762
31.10.2023;2,804
30.10.2023;2,82
27.10.2023;2,83
26.10.2023;2,86
25.10.2023;2,888
24.10.2023;2,825
23.10.2023;2,871
20.10.2023;2,888
19.10.2023;2,929
18.10.2023;2,923
17.10.2023;2,88
16.10.2023;2,783
13.10.2023;2,735
12.10.2023;2,784
11.10.2023;2,716
10.10.2023;2,773
09.10.2023;2,77
06.10.2023;2,883
05.10.2023;2,876
04.10.2023;2,917
03.10.2023;2,966
02.10.2023;2,921
29.09.2023;2,838
28.09.2023;2,928
27.09.2023;2,84
26.09.2023;2,805
25.09.2023;2,794
22.09.2023;2,737
21.09.2023;2,734
20.09.2023;2,699
19.09.2023;2,735
18.09.2023;2,705
15.09.2023;2,673
14.09.2023;2,591
13.09.2023;2,649
12.09.2023;2,641
11.09.2023;2,636
08.09.2023;2,608
07.09.2023;2,611
06.09.2023;2,652
05.09.2023;2,61
04.09.2023;2,577
01.09.2023;2,546
31.08.2023;2,462
30.08.2023;2,542
29.08.2023;2,508
28.08.2023;2,561
25.08.2023;2,559
24.08.2023;2,51
23.08.2023;2,515
22.08.2023;2,642
21.08.2023;2,701
18.08.2023;2,619
17.08.2023;2,707
16.08.2023;2,647
15.08.2023;2,671
14.08.2023;2,635
11.08.2023;2,622
10.08.2023;2,526
09.08.2023;2,495
08.08.2023;2,465
07.08.2023;2,598
04.08.2023;2,559
03.08.2023;2,601
02.08.2023;2,53
01.08.2023;2,554
31.07.2023;2,489
28.07.2023;2,491
27.07.2023;2,471
26.07.2023;2,481
25.07.2023;2,422
24.07.2023;2,419
21.07.2023;2,465
20.07.2023;2,483
19.07.2023;2,434
18.07.2023;2,382
17.07.2023;2,476
14.07.2023;2,509
13.07.2023;2,477
12.07.2023;2,566
11.07.2023;2,646
10.07.2023;2,636
07.07.2023;2,634
06.07.2023;2,624
05.07.2023;2,475
04.07.2023;2,451
03.07.2023;2,435
30.06.2023;2,39
29.06.2023;2,414
28.06.2023;2,312
27.06.2023;2,354
26.06.2023;2,307
23.06.2023;2,352
22.06.2023;2,491
21.06.2023;2,433
20.06.2023;2,402
19.06.2023;2,515
16.06.2023;2,472
15.06.2023;2,501
14.06.2023;2,448
13.06.2023;2,42
12.06.2023;2,384
09.06.2023;2,375
08.06.2023;2,4
07.06.2023;2,453
06.06.2023;2,37
05.06.2023;2,377
02.06.2023;2,311
01.06.2023;2,246
31.05.2023;2,28
30.05.2023;2,339
29.05.2023;2,432
26.05.2023;2,537
25.05.2023;2,521
24.05.2023;2,47
23.05.2023;2,466
22.05.2023;2,457
19.05.2023;2,425
18.05.2023;2,444
17.05.2023;2,334
16.05.2023;2,351
15.05.2023;2,306
12.05.2023;2,274
11.05.2023;2,223
10.05.2023;2,286
09.05.2023;2,347
08.05.2023;2,317
05.05.2023;2,289
04.05.2023;2,188
03.05.2023;2,246
02.05.2023;2,256
01.05.2023;2,31
28.04.2023;2,31
27.04.2023;2,457
26.04.2023;2,394
25.04.2023;2,381
24.04.2023;2,506
21.04.2023;2,479
20.04.2023;2,443
19.04.2023;2,513
18.04.2023;2,474
17.04.2023;2,47
14.04.2023;2,436
13.04.2023;2,369
12.04.2023;2,366
11.04.2023;2,307
10.04.2023;2,181
07.04.2023;2,181
06.04.2023;2,181
05.04.2023;2,179
04.04.2023;2,246
03.04.2023;2,251
31.03.2023;2,289
30.03.2023;2,369
29.03.2023;2,325
28.03.2023;2,285
27.03.2023;2,224
24.03.2023;2,124
23.03.2023;2,192
22.03.2023;2,325
21.03.2023;2,288
20.03.2023;2,12
17.03.2023;2,102
16.03.2023;2,285
15.03.2023;2,124
14.03.2023;2,414
13.03.2023;2,253
10.03.2023;2,504
09.03.2023;2,638
08.03.2023;2,644
07.03.2023;2,688
06.03.2023;2,744
03.03.2023;2,711
02.03.2023;2,746
01.03.2023;2,707
28.02.2023;2,648
27.02.2023;2,578
24.02.2023;2,535
23.02.2023;2,475
22.02.2023;2,518
21.02.2023;2,527
20.02.2023;2,459
17.02.2023;2,438
16.02.2023;2,475
15.02.2023;2,472
14.02.2023;2,434
13.02.2023;2,367
10.02.2023;2,362
09.02.2023;2,298
08.02.2023;2,36
07.02.2023;2,344
06.02.2023;2,292
03.02.2023;2,189
02.02.2023;2,073
01.02.2023;2,282
31.01.2023;2,283
30.01.2023;2,315
27.01.2023;2,237
26.01.2023;2,209
25.01.2023;2,151
24.01.2023;2,149
23.01.2023;2,202
20.01.2023;2,172
19.01.2023;2,058
18.01.2023;2,016
17.01.2023;2,087
16.01.2023;2,171
13.01.2023;2,165
12.01.2023;2,153
11.01.2023;2,2
10.01.2023;2,304
09.01.2023;2,226
06.01.2023;2,207
05.01.2023;2,312
04.01.2023;2,268
03.01.2023;2,384
02.01.2023;2,436
30.12.2022;2,565
29.12.2022;2,433
28.12.2022;2,494
27.12.2022;2,518
