Date;Close
24.11.2023;4.481
23.11.2023;4.406
22.11.2023;4.406
21.11.2023;4.394
20.11.2023;4.421
17.11.2023;4.436
16.11.2023;4.437
15.11.2023;4.532
14.11.2023;4.448
13.11.2023;4.641
10.11.2023;4.653
09.11.2023;4.626
08.11.2023;4.494
07.11.2023;4.568
06.11.2023;4.644
03.11.2023;4.573
02.11.2023;Apr 66
01.11.2023;4.735
31.10.2023;4.932
30.10.2023;4.895
27.10.2023;4.837
26.10.2023;4.846
25.10.2023;4.957
24.10.2023;4.825
23.10.2023;4.851
20.10.2023;4.916
19.10.2023;4.991
18.10.2023;4.916
17.10.2023;4.836
16.10.2023;4.707
13.10.2023;4.613
12.10.2023;4.699
11.10.2023;4.559
10.10.2023;4.654
09.10.2023;4.803
06.10.2023;4.803
05.10.2023;Apr 72
04.10.2023;4.734
03.10.2023;4.797
02.10.2023;Apr 68
29.09.2023;4.572
28.09.2023;4.576
27.09.2023;4.609
26.09.2023;4.537
25.09.2023;4.535
22.09.2023;4.435
21.09.2023;4.496
20.09.2023;4.409
19.09.2023;Apr 36
18.09.2023;4.304
15.09.2023;4.334
14.09.2023;4.289
13.09.2023;4.251
12.09.2023;4.283
11.09.2023;4.292
08.09.2023;4.267
07.09.2023;4.247
06.09.2023;4.282
05.09.2023;4.263
04.09.2023;Apr 18
01.09.2023;Apr 18
31.08.2023;4.109
30.08.2023;4.116
29.08.2023;4.123
28.08.2023;4.205
25.08.2023;4.237
24.08.2023;4.238
23.08.2023;4.195
22.08.2023;4.327
21.08.2023;4.341
18.08.2023;4.256
17.08.2023;4.278
16.08.2023;4.252
15.08.2023;4.215
14.08.2023;4.193
11.08.2023;4.155
10.08.2023;4.108
09.08.2023;4.013
08.08.2023;4.026
07.08.2023;4.093
04.08.2023;4.037
03.08.2023;4.178
02.08.2023;4.082
01.08.2023;4.026
31.07.2023;3.962
28.07.2023;3.953
27.07.2023;4.002
26.07.2023;MŠr 87
25.07.2023;3.887
24.07.2023;3.874
21.07.2023;3.839
20.07.2023;3.853
19.07.2023;MŠr 75
18.07.2023;3.788
17.07.2023;MŠr 81
14.07.2023;3.834
13.07.2023;3.766
12.07.2023;MŠr 86
11.07.2023;3.972
10.07.2023;3.997
07.07.2023;4.068
06.07.2023;4.032
05.07.2023;3.934
04.07.2023;3.857
03.07.2023;3.857
30.06.2023;MŠr 84
29.06.2023;3.841
28.06.2023;MŠr 71
27.06.2023;3.767
26.06.2023;3.723
23.06.2023;3.736
